store_id,sku,qty_on_hand,unit_cost,margin_pct,sales_last_30d,days_since_receipt,retail_price,is_damaged,on_order_qty,is_seasonal
store-7,ELC-4401,-47,23.50,0.35,10,30,31.73,false,0,false
store-7,SEA-1201,100,50.00,0.35,0,180,67.50,false,0,false
store-7,PLB-2201,30,45.00,0.40,15,14,63.00,false,0,false
store-7,HRD-3301,25,12.00,0.30,8,20,15.60,false,0,false
store-12,PNT-1001,50,100.00,0.05,10,30,105.00,false,0,false
store-12,PNT-1002,35,85.00,0.04,7,25,88.40,false,0,false
store-12,NRM-0001,50,100.00,0.35,20,30,135.00,false,0,false
store-12,TLS-2001,-15,65.00,0.28,5,45,83.20,false,0,false
store-3,FLR-0501,200,25.00,0.35,0,220,33.75,false,0,false
store-3,FLR-0502,80,42.00,0.33,0,195,55.86,false,0,false
store-3,DMG-0101,10,150.00,0.25,3,60,187.50,true,20,false
store-3,SSN-0801,300,18.00,0.30,2,120,23.40,false,0,true
store-3,NRM-0002,40,55.00,0.32,12,28,72.60,false,0,false
store-15,ELC-5501,-120,32.00,0.38,25,10,44.16,false,0,false
store-15,PLB-3301,15,28.00,0.35,6,18,37.80,false,0,false
store-15,HRD-4401,500,8.50,0.25,0,300,10.63,false,0,false
store-15,PNT-2001,60,95.00,0.03,8,35,97.85,false,0,false
store-22,FLR-1001,45,38.00,0.34,10,22,50.92,false,0,false
store-22,TLS-3001,-8,220.00,0.42,2,90,310.40,false,0,false
store-22,DMG-0201,5,180.00,0.28,1,75,230.40,true,15,false
